,,,Кількість підприємств. одиниць,Кількість зайнятих працівників. осіб,Кількість найманих працівників. осіб,"Витрати
на оплату праці.
тис.грн",Обсяг реалізованої продукції (товарів. послуг). тис.грн
Одеська область,,,25871,295632,285524,27353458.1,390704866.5
м.Одеса,,,15576,178746,172703,16356237.8,283787934.8
м.Балта,,,84,1718,1686,114376.2,582941.6
м.Білгород-Дністровський,,,547,7551,7386,556858.7,3463838.4
м.Біляївка,,,136,2278,2232,124731.6,1820977.6
м.Ізмаїл,,,571,10285,10089,868971,5364392.2
м.Чорноморськ,,,864,17878,17563,2080534.7,17232547.3
м.Подільськ,,,119,1740,1716,130667.5,1101252.1
м.Теплодар,,,85,608,568,37283.9,172148.4
м.Южне,,,199,7316,7229,1554370.2,11242232.2
,,,,,,,
Ананьївський,,,101,889,867,62239.2,744720.2
Арцизький,,,315,2791,2685,169159.7,2447197.3
Балтський,,,129,1020,933,79762.4,908309.6
Білгород-Дністровський,,,309,3436,3323,305058.3,3428337.5
Біляївський,,,544,5216,5004,402885.6,6253696
Березівський,,,310,1445,1314,98231.2,1322152.9
Болградський,,,394,3152,3019,200172.5,2098218.1
Великомихайлівський,,,200,1723,1600,120370.6,1172522.1
Іванівський,,,193,1696,1626,96626.2,1017123.7
Ізмаїльський,,,534,2493,2122,126203.7,928683.4
Кілійський,,,270,3167,3089,209993.4,1289280.5
Кодимський,,,125,1122,1062,77604.8,720882.1
Лиманський,,,831,10102,9795,1536472.8,13919025.3
Подільський,,,76,1155,1116,71884,818595.3
Окнянський,,,109,1214,1164,77238.4,940003
Любашівський,,,198,1276,1207,87211.2,857431.3
Миколаївський,,,176,797,720,55685.4,560054.2
Овідіопольський,,,1175,10757,10251,803030.2,13969034.6
Роздільнянський,,,275,2006,1887,134714.5,988459.6
Ренійський,,,183,1723,1672,122720.7,1656305.8
Савранський,,,94,1001,961,68773.9,624504.9
Саратський,,,246,3349,3277,266041.3,4848837.8
Тарутинський,,,237,2436,2369,155925.8,2344907.7
Татарбунарський,,,376,1670,1575,98702.2,883253.2
Захарівський,,,76,591,553,36208.7,233180.6
Ширяївський,,,214,1285,1161,66509.8,961885.2